strain	Size_Factor	umap_1	umap_2	louvain_component	Cluster	strain.sys
339	HST1	1.04953892843409	14.2202619152742	14.0837531247766	1	25	YOL068C
340	RPA14	0.998398022753844	13.9851844714531	13.9543912316278	1	43	YDR156W
341	STD1	1.00003463501001	14.0777540517219	14.3980338192424	1	3	YOR047C
342	BCK2	0.995930912253759	13.9659567784195	14.7748615218825	1	2	YER167W
343	EDC2	0.998534287577977	13.9324686670091	14.4265434236795	1	39	YER035W
344	VPS8	0.993786534231883	14.0344879921497	14.2469918491859	1	6	YAL002W
345	YBR062C	0.996934968852631	0.00237372146040135	14.3398101668224	1	26	YBR062C
346	YHB1	0.998167089736104	14.259739576576	14.6515624213945	1	12	YGR234W
347	SIZ1	0.996194835702606	0	14.3374198554585	1	26	YDR409W
348	MTH1	0.999437938516961	14.0238903790268	14.3772239779296	1	3	YDR277C
349	STP3	0.999909845118431	13.9965142120036	14.6284095354628	1	2	YLR375W
350	TUP1	1.24308661589889	14.2044303895922	14.1664379487135	1	44	YCR084C
351	LOC1	0.995516380315082	14.2194054253039	14.8687843713014	1	27	YFR001W
352	CLB4	0.993935708355144	14.1159112151389	14.6035552535632	1	1	YLR210W
353	YKU80	0.993561338680422	14.0603234543009	14.5641887363408	1	1	YMR106C
354	NUP42	0.996110208074986	14.0475505550419	14.5627821111029	1	1	YDR192C
355	SLX8	1.00453280857295	0.00478186386780238	14.342211441589	1	26	YER116C
356	ELF1	0.994645719807203	14.2886900339113	13.9273811620942	1	16	YKL160W
357	YDR063W	0.999410685552135	13.8492826707742	14.5596956029888	1	5	YDR063W
358	MUM2	1.00080632422457	15.0352049337132	7.11832597695915	1	13	YBR057C
359	LDB7	0.9884822466567	13.9933705390535	14.0803193844997	1	38	YBL006C
360	HFI1	1.01991639003424	14.2570197011931	13.9678008485922	1	16	YPL254W
361	SNF11	0.997243357665142	14.2717455160097	14.574161585164	1	23	YDR073W
362	MAG1	0.995002877083088	14.2466961682867	14.6963712957765	1	21	YER142C
363	BIM1	0.998478347281754	13.9732287516433	14.768492074577	1	2	YER016W
364	SYC1	1.00372382582757	13.9127696355782	14.4599024513672	1	3	YOR179C
365	BRE2	1.00871829022368	14.3105414812128	13.8527590829929	1	30	YLR015W
366	YMR1	0.997173073703221	14.0771690326655	14.5875462448733	1	1	YJR110W
367	YGR283C	0.996027014813937	14.1201103017592	14.6377725708741	1	1	YGR283C
368	RPL38	1.01138477767697	13.9477144987648	13.9383325152842	1	15	YLR325C
369	BLM10	0.989906572660529	13.9710201224773	14.5193603760621	1	3	YFL007W
370	UTP30	0.99850560024658	14.233587951808	14.2016171804876	1	4	YKR060W
371	PHO80	1.00278861882405	14.0882393025737	14.3673751396696	1	4	YOL001W
372	RSR1	0.99537437802467	14.3457228746389	14.4265298952544	1	1	YGR152C
373	CTF4	0.99679009782908	13.9745331379807	14.7841415250333	1	2	YPR135W
374	PKH1	0.997366713190146	14.2524102523453	14.3676244226217	1	20	YDR490C
375	AZF1	1.00303389550749	14.2407991608901	14.2159891049428	1	4	YOR113W
376	YRR1	0.993303152697855	13.9141936264321	14.5131563727074	1	3	YOR162C
377	YOL159C	0.99569280740317	14.3689366384834	14.5318318050212	1	9	YOL159C
378	MLH2	0.998765220595717	14.259872068262	14.5683787833254	1	23	YLR035C
379	FBP1	0.995672726271192	14.0383014037528	14.3778197250892	1	3	YLR377C
380	EDC3	0.997477159416022	14.2740306407658	14.4340186439074	1	1	YEL015W
381	PBS2	0.997626333539283	14.2604343253296	14.3413055335644	1	47	YJL128C
382	GIS2	0.997315075993632	14.1951374061864	14.3146130407067	1	4	YNL255C
383	RAS2	0.996800138395068	14.0668187325082	14.3557737497915	1	4	YNL098C
384	KIN4	0.996539083679362	14.1216424527854	14.4987954737117	1	1	YOR233W
385	DCR2	1.00062989713648	14.214462895874	14.4480395946801	1	1	YLR361C
386	YCK3	1.00061411910421	14.4085422613106	14.2781582170413	1	10	YER123W
387	CLG1	0.990858992062887	14.2884604437125	14.6583270890205	1	12	YGL215W
388	SKP2	0.995945255919457	14.0050175847806	14.4530410989417	1	3	YNL311C
389	RAD28	0.996665307937506	14.3859014903939	14.7938237402595	1	11	YDR030C
390	IRC3	1.00409532676916	14.0442655469607	14.2549732476428	1	6	YDR332W
391	YPR153W	1.00373099766042	15.0291974028072	7.12437479645305	1	13	YPR153W
392	HFM1	0.998449659950358	14.0376083567184	14.2469162844507	1	6	YGL251C
393	WSS1	0.996655267371517	14.2595970523423	14.647203041554	1	12	YHR134W
394	MET28	0.995271103631644	13.9198222580075	14.5164736087318	1	3	YIR017C
395	CSN9	0.992380854993463	13.963777905583	14.4838123499048	1	3	YDR179C
396	SMM1	0.996458759151452	14.3073985426039	14.5663841059953	1	9	YNR015W
397	CPR6	0.99537437802467	14.1907569786815	14.5051312033828	1	1	YLR216C
398	YHR033W	1.00433343161975	15.0244572412405	7.12923079774516	1	13	YHR033W
399	PDR3	0.996879028556408	14.120848231839	14.5776031420367	1	1	YBL005W
400	SPT4	1.00065571573474	14.2861904608634	13.9354717498352	1	16	YGR063C
401	EDE1	0.997736779765159	14.4333078430776	14.2626300052691	1	10	YBL047C
402	INO2	0.999749196062612	14.3736691877252	14.2400716874141	1	32	YDR123C
403	BYE1	0.997211801600606	14.3128638815377	14.4383105057364	1	1	YKL005C
404	HCM1	0.998950253883224	14.2193620474638	14.6100622605427	1	1	YCR065W
405	TOS4	1.0013700302865	14.2970067883734	14.4343182964544	1	1	YLR183C
406	SWI3	0.998937344584095	14.2688316711436	13.9686035920327	1	16	YJL176C
407	SYF2	0.996752804298264	13.8942299115713	14.5450241707861	1	5	YGR129W
408	REV3	0.995575189344445	14.2079619911657	14.7124819124543	1	7	YPL167C
409	CYC3	0.992469785720791	14.0730069604574	14.2694702376303	1	6	YAL039C
410	YDR266C	0.99545757128572	14.3680303167455	14.5340318910074	1	9	YDR266C
411	DAL82	0.997079839876183	14.2244077776778	14.678266787824	1	7	YNL314W
412	NUP133	1.01050264223653	14.093793538154	14.0880927549781	1	17	YKR082W
413	SOK1	1.00079628365858	14.0349434003223	14.3721965545294	1	3	YDR006C
414	PDE2	1.00563727083171	14.2158810016562	14.2218673090697	1	4	YOR360C
415	EBS1	0.998082462108485	14.0881822618517	13.9647340125458	1	18	YDR206W
416	DPB3	0.993948617654272	13.9606374699396	14.7221348781498	1	2	YBR278W
417	YNL213C	0.992575928846958	14.0546242315999	14.1905024415704	1	34	YNL213C
418	OCA4	0.997284954295666	14.0592510693351	14.7811168670584	1	2	YCR095C
419	GSY1	0.99506312047902	14.1612546795112	14.5854609643293	1	2	YFR015C
420	RNH201	0.996346878559006	14.3801733400829	14.7927185465358	1	11	YNL072W
421	HOM2	1.00847444790681	14.2884644567315	14.2074558336224	1	4	YDR158W
422	YER184C	0.994962714819133	13.8874691845645	14.5711040783527	1	5	YER184C
423	DOT5	1.00037171115391	14.2093904294377	14.4453048256182	1	1	YIL010W
424	ULS1	0.99459408261069	13.971996873734	14.522248219047	1	3	YOR191W
425	RPS21A	1.00016516236786	13.954078960825	13.9450665681257	1	15	YKR057W
426	HAC1	0.991457122922501	14.141640324851	14.5592030772989	1	1	YFL031W
427	RAI1	1.01453751539742	14.0135545200495	14.0052705730525	1	14	YGL246C
428	MSH1	1.00420433862846	14.0651067403082	14.2765228497168	1	6	YHR120W
429	RIM4	0.992659122108007	14.1065060792274	14.7152375740381	1	2	YHL024W
430	NUT1	1.0008952549519	14.043070555148	14.1853353071871	1	34	YGL151W
431	CTF19	0.996672479770355	13.9470413768743	14.7706936085597	1	2	YPL018W
432	MLH1	0.990889113760853	14.2879933613908	14.6330263277218	1	12	YMR167W
433	SOL1	0.995598139209562	14.237010146898	14.4362384640182	1	1	YNR034W
434	ARG82	1.0785317799098	14.2289261475414	14.228377232728	1	4	YDR173C
435	SNX4	0.997666495803238	14.0364685523213	14.6673248155832	1	2	YJL036W
436	IES5	1.00103008540946	13.9185980803372	14.0140062044791	1	33	YER092W
437	FIR1	0.993769321833045	14.3671545684209	14.4717746166036	1	1	YER032W
438	MKS1	0.998706411566355	14.2472703402974	14.5331702089351	1	1	YNL076W
439	PTC7	1.00094545778184	14.0789385672148	14.357034375604	1	4	YHR076W
440	PBA1	0.99498853341739	13.9851453703744	14.5205306055174	1	3	YLR199C
441	SIR1	1.00020245589867	14.1871270374553	14.4298166819796	1	1	YKR101W
442	ATG3	0.994469292719116	14.045474732372	14.4979386320851	1	3	YNR007C
443	YCR016W	0.997550312111082	14.2247000454423	14.5680095442005	1	1	YCR016W
444	YGR021W	1.00058543177281	14.2774488848937	14.6356829877117	1	12	YGR021W
445	PHO85	1.03669417580138	14.2356200908779	14.2425836718611	1	4	YPL031C
446	FUN30	1.0007288684298	14.1870801016808	14.4372649694713	1	1	YAL019W
447	IXR1	0.999052093909681	14.1790378356539	14.495177302629	1	1	YKL032C
448	SAS5	0.987968743424706	13.9715440696928	14.5599568215698	1	2	YOR213C
449	ISW1	1.01043379264118	14.2050326527363	14.1019189553838	1	22	YBR245C
450	KAR3	0.996810178961057	14.21642013215	14.8661041710244	1	27	YPR141C
451	SNF7	1.00454858660522	14.5408111627131	14.3024725203348	1	36	YLR025W
452	CAT8	0.99568706993689	13.9269240812917	14.5204321831221	1	3	YMR280C
453	SWM1	0.996879028556408	14.1729916639251	14.6027931109122	1	2	YDR260C
454	UBX7	0.993951486387412	14.2587375215793	14.6098438612889	1	1	YBR273C
455	PRE9	1.00341113391535	14.1241064568318	14.1787595617419	1	4	YGR135W
456	SMK1	0.994878087191514	13.9245321564459	14.5188098891381	1	3	YPR054W
457	NGL1	0.996567771010758	14.2751630981963	14.536151551127	1	1	YOL042W
458	TOP1	0.997994965747726	14.016405004723	14.0071388790678	1	14	YOL006C
459	CUL3	0.995969640151144	14.0370810333761	14.4113084312124	1	3	YGR003W
460	FKS1	1.0113403123133	14.4207659173712	14.2647674757465	1	10	YLR342W
461	BUD13	0.992373683160614	14.1750603545655	13.939198055233	1	31	YGL174W
462	YMR003W	0.993224262536515	14.3889015117415	14.7940729611546	1	11	YMR003W
463	UBP5	0.993617278976645	14.0314022729999	14.5873375678821	1	2	YER144C
464	UBA4	1.00392176841421	14.1042577128985	7.08112289072408	1	19	YHR111W
465	GAP1	0.998882838654442	14.1240052780716	14.6441438798894	1	1	YKR039W
466	ATG4	0.994169510106024	14.005380848334	14.597004723944	1	2	YNL223W
467	MUS81	0.995483389883976	13.9281019230718	14.6901235215541	1	2	YDR386W
468	SGF29	1.00703577823728	14.2517261567093	13.9812522195719	1	25	YCL010C
469	PGD1	1.00552539023926	14.2846337197526	13.9783176786977	1	41	YGL025C
470	ATG16	0.999895501452733	14.2953018758423	14.5620995255205	1	9	YMR159C
471	CIN4	0.993483882885652	13.9136117179826	14.6667133059466	1	2	YMR138W
472	NUP60	1.00050941034461	14.1006375508205	14.0926764553441	1	17	YAR002W
473	ESC1	0.992304833565262	14.3327103500478	14.4423955522841	1	1	YMR219W
474	MSH6	0.996295241362493	13.9017155470316	14.5712984822348	1	5	YDR097C
475	GCN1	0.98895558762474	13.9457299263822	14.5633021073563	1	2	YGL195W
476	YHR087W	0.998699239733506	13.8877017431562	14.6405243435528	1	2	YHR087W
477	WTM2	1.00223782206124	14.1774297734076	14.4916518860693	1	1	YOR229W
478	STE12	0.992568757014109	14.2176028971184	14.8651056325908	1	27	YHR084W
479	TEP1	0.996196270069175	13.989664945178	14.4834160125584	1	3	YNL128W
480	MLP2	0.992646212808879	13.9946044596722	14.5655912244458	1	3	YIL149C
481	PSR1	1.00184337125454	14.127412000284	14.3637053992234	1	4	YLL010C
482	YGR067C	1.00287324645167	14.0641992653445	14.6399843235754	1	2	YGR067C
483	NCS6	0.998854151323046	14.1003989209861	7.08491846207209	1	19	YGL211W
484	RPH1	0.996729854433147	14.0197174882158	14.3909087659561	1	3	YER169W
485	UIP4	0.992723668603649	13.9846729459796	14.5289466511728	1	3	YPL186C
486	SNT309	0.999720508731215	14.176075586331	13.9374638518	1	31	YPR101W
487	VID30	1.0000303319103	14.014202400257	14.5837228719911	1	2	YGL227W
488	PSY3	0.99467153840546	14.3809612157015	14.8034982604183	1	11	YLR376C
489	CMK1	1.00542498457938	14.2561433322985	14.3669322388906	1	20	YFR014C
490	SPS18	0.995930912253759	13.9020543782286	14.4999835342105	1	3	YNL204C
491	MEI4	0.993843908894676	14.2004995029648	14.6652505811845	1	2	YER044C-A
492	IDP2	0.994059063880148	14.2240776551458	14.6927600750774	1	35	YLR174W
493	YPL236C	0.993667481806588	14.0361336341088	14.4064625658963	1	3	YPL236C
494	TRM10	1.00616942082911	14.2434803333934	14.2006404550879	1	4	YOL093W
495	UFD2	1.00134708042139	14.2848418796021	14.3905205373904	1	1	YDL190C
496	DOA1	0.995053079913031	14.1410980708218	14.3684697009614	1	4	YKL213C
497	ASF2	0.995410237188916	14.2673410621047	14.4377042088875	1	1	YDL197C
498	HSC82	0.989080377516314	14.3687773174895	14.5092759073891	1	1	YMR186W
499	CDC73	1.00452420237353	14.3097686233872	13.8804999563946	1	45	YLR418C
500	IES4	1.00005328177541	13.9169737281295	14.016536893939	1	33	YOR189W
501	PCL8	0.996686823436053	15.0314127548143	7.1221586170193	1	13	YPL219W
502	SAP185	0.998169958469243	13.8976839005288	14.4782312746739	1	3	YJL098W
503	VPS71	0.991120046778594	13.9197745568634	14.1201767130875	1	24	YML041C
504	YRA2	0.999615799971619	13.9408733458915	14.4346177421447	1	39	YKL214C
505	HOP2	0.993080825879533	13.9388399863673	14.5456777550658	1	2	YGL033W
506	RNY1	1.00746178510852	14.4307188252131	14.2596353828801	1	10	YPL123C
507	DCS1	0.993941445821423	14.0625351889023	14.2677750887332	1	6	YLR270W
508	SDP1	0.997710961166902	14.0964671035038	14.3483241591029	1	4	YIL113W
509	SRP40	1.00752202850445	13.9497388496817	13.9400719004765	1	15	YKR092C
510	GFD1	0.995285447297342	14.0688409967586	14.5528018981828	1	1	YMR255W
511	UBP2	0.996207745001734	14.0814698694875	14.5316704154608	1	1	YOR124C
512	YML082W	0.989988331555008	14.3621799141528	14.5390216871824	1	9	YML082W
513	IKS1	0.998208686366628	14.0880541348411	14.3630481949523	1	4	YJL057C
514	TPS3	0.99467153840546	13.9649004545799	14.4716198050848	1	3	YMR261C
515	TPK2	0.997482896882301	14.2645040851707	14.4548155566794	1	1	YPL203W
516	CTF3	0.998525681378558	14.2220028829198	14.7025727754801	1	7	YLR381W
517	GTR1	1.00610057123376	14.4198219477225	14.3233229882942	1	46	YML121W
518	RUB1	0.994608426276388	14.2614947139024	14.6079705260712	1	1	YDR139C
519	RFX1	1.01191405894123	14.1783986485972	14.5103058052913	1	1	YLR176C
520	PTC4	0.998131230571858	14.2173705557262	14.3548355100721	1	4	YBR125C
521	SKY1	0.994650022906913	13.8790203417868	14.4772986407698	1	3	YMR216C
522	SPT8	0.999168277601836	14.2667846590804	13.958425143211	1	16	YLR055C
523	TMA46	0.998007875046854	13.8878780781097	14.4855522212102	1	3	YOR091W
524	CGI121	1.00196242367984	13.9706133233557	13.963371959745	1	15	YML036W
525	VAM3	0.9941279134755	14.356611622663	14.5575037085261	1	9	YOR106W
526	DSE2	0.999186924367243	14.0105039455217	14.4328955363975	1	3	YHR143W
527	PUF3	1.00653231557128	14.0749623686378	14.2675252058968	1	6	YLL013C
528	HAP5	0.988229798140413	14.1927700765965	14.6977621171663	1	7	YOR358W
529	UBR2	0.992412411057999	14.3734676266029	14.4778759776873	1	1	YLR024C
530	HIF1	0.995918002954631	14.2200733654353	14.6426998135973	1	48	YLL022C
531	NRG1	1.00085652705451	14.2463909719813	14.4258131783243	1	1	YDR043C
532	TOD6	0.998320566959074	14.1091763969278	14.5190982886832	1	1	YBL054W
533	ATG27	1.00031290212455	14.3205798415379	14.5684798121146	1	9	YJL178C
534	ASG1	0.997120002140137	14.2785028609102	14.5268950055206	1	1	YIL130W
535	KAR5	0.996563467911048	13.9030634663515	14.4765578870966	1	3	YMR065W
536	GLG2	0.994493676950803	14.361921591565	14.4127539041297	1	1	YJL137C
537	GAT2	0.996151804705511	13.890851425292	14.6195938841259	1	5	YMR136W
538	PIL1	0.996103036242137	14.0207103238701	14.3934112349971	1	3	YGR086C
539	TUS1	0.9991367215373	13.935078111968	14.4698648746151	1	3	YLR425W
540	SKI3	0.997094183541881	14.2193403068296	14.2331324120876	1	4	YPR189W
541	PUS9	1.00026556802775	14.217634442758	14.5437380188627	1	1	YDL036C
542	TPA1	0.992647647175449	13.9619180522477	14.6646318729364	1	2	YER049W
543	FMP48	0.999700427599238	14.0957553407905	14.3482195723793	1	4	YGR052W
544	HST3	0.996879028556408	13.9560346870474	14.7617806518533	1	2	YOR025W
545	PPZ2	0.99882402962508	14.302243612763	14.4312480059019	1	1	YDR436W
546	SHG1	0.998205817633489	13.9541391923108	14.5473874252999	1	2	YBR258C
547	TSL1	0.997507281113988	14.036468157516	14.2453684795473	1	6	YML100W
548	BMH1	1.00207573863885	14.3112477932532	14.4704433699299	1	1	YER177W
549	EAF5	0.994051892047299	13.95428903927	14.1314522003094	1	24	YEL018W
550	HPA2	0.995263931798794	14.2792710230898	14.3880164134962	1	1	YPR193C
551	PFK2	1.02418219621287	14.3371689797102	14.1603368462006	1	8	YMR205C
552	GRH1	0.993604369677516	14.1161737627738	14.6103222793551	1	1	YDR517W
553	ASI1	0.990199183440771	14.0718288445922	14.5818571490983	1	1	YMR119W
554	SET3	0.994347371560682	14.3184531689777	13.8946546399933	1	42	YKR029C
555	SSF1	1.00028134606001	14.0169415210658	14.0079746420015	1	14	YHR066W
556	SNF2	0.995592401743282	14.2712282088928	13.96764204474	1	16	YOR290C
557	TOP3	1.00024692126234	13.9556557877168	14.7707888453626	1	2	YLR234W
558	YDR306C	0.995887881256665	14.0594023966122	14.4590406038096	1	3	YDR306C
559	SPO11	0.995116192042103	13.9156656700865	14.6184374726949	1	2	YHL022C
560	RPN10	0.996547689878781	14.0071105888348	14.5384812948631	1	3	YHR200W
561	YOS9	0.994528101748478	13.9713177685148	14.5356282037958	1	3	YDR057W
562	TIP41	1.00139011141848	14.3338512058584	14.410739244447	1	1	YPR040W
563	PET112	0.994552485980165	14.0983028373534	14.2753400226913	1	6	YBL080C
564	SKI8	0.998280404695119	14.0874412547792	14.5318906350532	1	1	YGL213C
565	MIH1	1.00187779605222	13.999520702793	14.3852829476312	1	40	YMR036C
566	MAC1	0.996774319796812	13.9389422149251	14.6236426480167	1	2	YMR021C
567	TYE7	1.0014130612836	14.1759654248207	14.5756137602369	1	2	YOR344C
568	CUE4	0.994505151883361	13.990696554819	14.5536394193981	1	3	YML101C
569	SHE2	0.993063613480695	14.3640475194412	14.4262123702926	1	1	YKL130C
570	SQS1	0.996371262790693	14.3493783419761	14.4233681740614	1	1	YNL224C
571	BRO1	0.990633796511426	14.1451803454903	14.3735262084069	1	4	YPL084W
572	YJR084W	0.999227086631198	14.1910543971767	14.6606673410745	1	2	YJR084W
573	CNB1	1.00151920440977	14.0488870953067	14.4949635369641	1	3	YKL190W
574	ACO1	1.04278879935654	14.0308438705767	14.2495830597309	1	6	YLR304C
575	USV1	0.995906528022072	14.1999031662638	14.6530384677251	1	2	YPL230W
576	VAM6	0.995114757675533	14.346031235851	14.5527587892564	1	9	YDL077C
577	MPT5	0.99451519244935	14.0747660487459	14.4751529167119	1	3	YGL178W
578	SKI2	0.992250327635609	14.0561346174277	14.6216569482653	1	2	YLR398C
579	ACM1	0.990659615109682	13.9888269275068	14.4795895781978	1	3	YPL267W
580	OCA5	0.996735591899427	14.0608087089795	14.7811894323721	1	2	YHL029C
581	CSI1	1.00273841599411	13.9700671545643	14.4886506442675	1	3	YMR025W
582	RAD54	0.997626333539283	13.9507908191888	14.7148789259738	1	2	YGL163C
583	SAC1	0.996290938262783	14.4205755678794	14.2594770961695	1	10	YKL212W
584	PTC2	0.997398269254682	14.0053074943793	14.3809489077307	1	40	YER089C
585	ECM1	0.998367901055878	13.8451548255851	14.5624730672638	1	5	YAL059W
586	POL32	0.995398762256357	13.9605869865735	14.7441437226784	1	2	YJR043C
587	ALK1	1.00021393083123	14.1083242612901	14.3588082127718	1	4	YGL021W
588	LSM6	1.00098418567922	14.125170191311	13.9919991156464	1	18	YDR378C
589	GGA1	0.995349993792983	14.2543491197505	14.6023623939901	1	1	YDR358W
590	SPT23	0.995750182065962	14.1771831589063	14.5035341459104	1	1	YKL020C
591	CEX1	0.996088692576439	14.3637990018587	14.1407410155536	1	8	YOR112W
592	HRB1	0.996249341632259	14.0294935148733	14.5806732257326	1	2	YNL004W
593	SPG5	0.997290691761946	14.3733868904514	14.4636945475234	1	28	YMR191W
594	RGT1	1.00386295938485	14.0211040949012	14.4965742469756	1	3	YKL038W
595	UBC4	1.00395619321188	14.2899160112345	14.3860518544947	1	1	YBR082C
596	UBP13	1.0047823883561	13.9540109205005	14.4543901766589	1	3	YBL067C
597	SML1	0.993740634501649	14.1692456657739	14.7341438583763	1	7	YML058W
598	YKL091C	0.994003123583926	14.1613045319645	14.7013977055791	1	37	YKL091C
599	SEF1	0.994082013745265	14.1014979245245	13.9891084180398	1	18	YBL066C
600	DLS1	0.993128159976337	14.0213239705944	14.6604205610879	1	2	YJL065C
601	GBP2	0.990474581822176	14.313468420105	14.4777560008287	1	1	YCL011C
602	CBF1	1.00269681936359	13.892596074986	14.5032912962002	1	3	YJR060W
603	MSG5	1.00002889754373	14.2574967333197	14.6049442959857	1	1	YNL053W
604	APQ12	1.0042502383587	14.0928764236702	14.085168650022	1	17	YIL040W
605	MSC3	0.998832635824499	13.8275368651652	14.5301817095031	1	3	YLR219W
606	MLP1	0.994883824657793	13.9476619882035	14.5444581282419	1	2	YKR095W
607	ASH1	0.99976497409488	14.3214669669784	14.5549907311671	1	9	YKL185W
608	TSR2	1.00323183809413	13.9703229431581	13.9655814887374	1	15	YLR435W
609	HMO1	1.0000016445789	13.970873280111	13.963240026572	1	15	YDR174W
610	LSM7	1.00631429185266	14.1259554501929	13.9908273554519	1	18	YNL147W
611	YMR293C	0.993641663208332	14.0972968158804	14.27863438037	1	6	YMR293C
612	HRD3	0.995563714411886	13.9846929955607	14.4891850377439	1	3	YLR207W
613	TCB3	0.995249588133096	13.873544928934	14.570613083402	1	5	YML072C
614	YGL059W	0.999439372883531	14.1519535873246	14.4433601248554	1	1	YGL059W
615	GCN5	1.00114053163533	14.2512680519664	13.9779830466907	1	25	YGR252W
616	PFK1	0.997987793914877	14.3624940466655	14.1390824595984	1	8	YGR240C
617	REH1	0.997574696342769	13.8959173240295	14.4696660440006	1	3	YLR387C
618	REC107	0.995440358886882	14.0269851445998	14.6200028397281	1	2	YJR021C
619	CKA2	0.99310951321093	14.0571534019562	14.1271717362819	1	17	YOR061W
620	FPR4	0.996173320204058	13.8965201767152	14.4505078082594	1	3	YLR449W
621	IME1	0.993164019140583	14.1495197119496	14.5440335342766	1	1	YJR094C
622	QRI7	0.996934968852631	14.3268379999643	14.6126948837896	1	12	YDL104C
623	ECM2	0.99506455484559	13.8598187282056	14.6208809875899	1	5	YBR065C
624	HAL5	0.99678292599623	14.0285955966869	14.3859089165477	1	3	YJL165C
625	NDE1	1.00014221250274	13.8824942406971	14.6265320631121	1	5	YMR145C
626	UBP7	0.99474899420023	14.0839965278283	14.5273217094237	1	1	YIL156W
627	RAD5	0.99850846897972	13.9849196897663	14.7796140948482	1	2	YLR032W
628	YHR032W	0.99506168611245	14.1252408070008	14.327239881069	1	4	YHR032W
629	RMI1	1.00019528406582	13.9554509220594	14.7757706982421	1	2	YPL024W
630	YPL150W	0.995831940960442	14.3519053028448	14.4804284232956	1	1	YPL150W
631	MHT1	0.994094923044394	14.3619369403286	14.1395519414573	1	8	YLL062C
632	MSL1	0.994325856062134	13.8316712677102	14.5798039727068	1	5	YIR009W
633	YCK1	0.998474044182044	14.1636995700029	14.3397416145278	1	4	YHR135C
634	MBP1	0.997120002140137	14.109211578073	14.2890321748147	1	6	YDL056W
635	DBP3	0.993713381536822	14.0182418258629	14.0085595395296	1	14	YGL078C
636	SAP30	1.01142637430749	14.7612384391954	14.4214924806779	1	29	YMR263W
637	NKP2	0.997386794322123	13.9808776073454	13.9550784766563	1	43	YLR315W
638	RSC30	0.986651994913614	13.9935553758155	14.0806865498867	1	38	YHR056C
639	YPL109C	0.993059310380986	13.9932099820912	14.4346133154124	1	3	YPL109C
640	VID28	0.998139836771277	15.0271819570691	7.12643806744917	1	13	YIL017C
641	EST1	0.998877101188163	13.9605303130221	14.7979405186178	1	2	YLR233C
642	DST1	0.992663425207717	14.248947534037	14.6686097263667	1	21	YGL043W
643	PSH1	0.9928685396272	14.3543343170884	14.5093712269347	1	1	YOL054W
644	GRX4	0.995484824250546	14.2630338928833	14.5033935661293	1	1	YER174C
645	ECM32	0.994234056601666	14.2194546571872	14.6867124139807	1	7	YER176W
646	APN2	0.991481507154187	14.0941558682667	14.2749340251392	1	6	YBL019W
647	FKH2	0.999955744848665	14.1497842609227	14.4590986477863	1	1	YNL068C
648	IRA1	1.01084975894642	14.2304262099294	14.2049951703109	1	4	YBR140C
649	VPS72	0.990070090449488	13.9207101695033	14.1210845552218	1	24	YDR485C
650	CMP2	0.999440807250101	14.0090227639747	14.3810463992711	1	40	YML057W
651	TRX2	0.999063568842239	14.1010900445768	14.3277743366024	1	4	YGR209C
652	ASC1	1.02028932534239	14.0329381183566	14.2572950480834	1	6	YMR116C
653	GIS3	1.00291053998249	14.2154655921263	14.637807240049	1	48	YLR094C
654	YTA7	0.99592804352062	14.0551698910068	14.18989018725	1	34	YGR270W
655	MGS1	0.997464250116893	14.333548615947	14.5585001783932	1	9	YNL218W
656	YDR370C	0.994354543393531	14.1186816566305	14.6032570076414	1	1	YDR370C
657	SWP82	0.992303399198692	14.0082415232833	14.6191414472552	1	2	YFL049W
658	EGD1	0.999406382452425	14.2407065304811	14.416132080124	1	1	YPL037C
659	SWT21	1.0030525422729	14.3439635174369	14.1488506547923	1	8	YNL187W
660	DMA2	0.994938330587446	0.00195405068352057	14.3393908270162	1	26	YNL116W
661	SIP4	0.99600406494882	14.3579238385247	14.5403200850197	1	9	YJL089W
662	YER064C	0.993836737061827	14.1704367153513	14.7390985716631	1	7	YER064C
663	CLB3	0.993330405662681	13.8968194776059	14.5001203905718	1	3	YDL155W
664	SGN1	0.996696864002041	14.0313824419111	14.6217245076481	1	2	YIR001C
665	SWI6	1.00556985560293	13.9720789027396	14.7952395499329	1	2	YLR182W
666	NOP13	0.996877594189838	14.2424541589109	14.6977290614732	1	21	YNL175C
667	SLX5	1.01829125271063	13.9805452455901	14.7911801122388	1	2	YDL013W
668	YMR074C	0.998580187308211	13.8175192939337	14.5628851257159	1	5	YMR074C
669	YBL010C	0.997358106990727	14.3530805589167	14.4225005758889	1	1	YBL010C
670	PHR1	0.998521378278848	14.241705172343	14.7008127149654	1	21	YOR386W
671	URM1	1.01299557133487	14.1069570267302	7.07849365992634	1	19	YIL008W
672	FUS3	1.01430658237968	13.967971386388	13.9612650316524	1	15	YBL016W
673	UBC7	0.996916322087223	14.051719395341	14.48500434068	1	3	YMR022W
674	ATG23	1.00392463714735	15.0297951357906	7.1237816970586	1	13	YLR431C
675	PSK2	0.996907715887804	14.253348781664	14.3684440714221	1	20	YOL045W
676	SET5	1.00262510103509	14.3854743107205	14.7914587895212	1	11	YHR207C
677	SPS4	0.993192706471979	13.8556174282191	14.610722050522	1	5	YOR313C
678	BOL2	1.00031003339141	13.8740198511228	14.6029645537059	1	5	YGL220W
679	PTC5	1.00032150832397	14.0567557950271	14.3841295563074	1	3	YOR090C
680	PTP3	0.98809783641599	14.3304975423775	14.4932021525669	1	1	YER075C
